DATE,LTOTALNSA
1976-01-01,12969.8
1977-01-01,14481.9
1978-01-01,14981
1979-01-01,13758.4
1980-01-01,11197.5
1981-01-01,10563.6
1982-01-01,10357.3
1983-01-01,12107.1
1984-01-01,14205.1
1985-01-01,15425.1
1986-01-01,16044.3
1987-01-01,14875.1
1988-01-01,15443.2
1989-01-01,14520.7
1990-01-01,13859.7
1991-01-01,12309.4
1992-01-01,12857.3
1993-01-01,13882.7
1994-01-01,15044.9
1995-01-01,14728.4
1996-01-01,15097.1
1997-01-01,15121.9
1998-01-01,15543
1999-01-01,16893.7
2000-01-01,17349.7
2001-01-01,17122.4
2002-01-01,16816.213
2003-01-01,16639.102
2004-01-01,16866.865
2005-01-01,16948.171
2006-01-01,16504.108
2007-01-01,16088.988
2008-01-01,13194.834
2009-01-01,10402.292
2010-01-01,11554.824
2011-01-01,12741.816
2012-01-01,14433.203
2013-01-01,15530.101
2014-01-01,16452.19
2015-01-01,17396.291
2016-01-01,17464.777
2017-01-01,17136.359
2018-01-01,17213.546
2019-01-01,0
