Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg,CPI,AvgAdj2018
1976,0.605,0.6,0.594,0.592,0.6,0.616,0.623,0.628,0.63,0.629,0.629,0.626,0.6143333333,56.9,2.7045782072
1977,0.627,0.637,0.643,0.651,0.659,0.665,0.667,0.667,0.666,0.665,0.664,0.665,0.6563333333,60.6,2.713061056
1978,0.648,0.647,0.647,0.649,0.655,0.663,0.674,0.682,0.688,0.69,0.695,0.705,0.67025,65.2,2.5751169479
1979,0.716,0.73,0.755,0.802,0.844,0.901,0.949,0.988,1.02,1.028,1.041,1.065,0.90325,72.6,3.1165857438
1980,1.131,1.207,1.252,1.264,1.266,1.269,1.271,1.267,1.257,1.25,1.25,1.258,1.2451666667,82.4,3.7853671118
1981,1.298,1.382,1.417,1.412,1.4,1.391,1.382,1.376,1.376,1.371,1.369,1.365,1.37825,90.9,3.7981476898
1982,1.358,1.334,1.284,1.225,1.237,1.309,1.331,1.323,1.307,1.295,1.283,1.26,1.2955,96.5,3.3629300518
1983,1.23,1.187,1.152,1.215,1.259,1.277,1.288,1.285,1.274,1.255,1.241,1.231,1.2411666667,99.6,3.1216089358
1984,1.216,1.209,1.21,1.227,1.236,1.229,1.212,1.196,1.203,1.209,1.207,1.193,1.21225,103.9,2.9227009143
1985,1.148,1.131,1.159,1.205,1.231,1.241,1.242,1.229,1.216,1.204,1.207,1.208,1.20175,107.6,2.7977544145
1986,1.194,1.12,0.981,0.888,0.923,0.955,0.89,0.843,0.86,0.831,0.821,0.823,0.9274166667,109.6,2.1196886406
1987,0.862,0.905,0.912,0.934,0.941,0.958,0.971,0.995,0.99,0.976,0.976,0.961,0.9484166667,113.6,2.0913589349
1988,0.933,0.913,0.904,0.93,0.955,0.955,0.967,0.987,0.974,0.957,0.949,0.93,0.9461666667,118.3,2.0035059172
1989,0.918,0.926,0.94,1.065,1.119,1.114,1.092,1.057,1.029,1.027,0.999,0.98,1.0221666667,124,2.0649415323
1990,1.042,1.037,1.023,1.044,1.061,1.088,1.084,1.19,1.294,1.378,1.377,1.354,1.1643333333,130.7,2.2315646518
