DATE,LTOTALNSA,LTRUCKNSA,LTOTNOTTRUCKNSA,LTRUCKNSAPCT,LTOTNOTTRUCKNSAPCT
1976-01-01,12969.8,2975.8,9994,22.94,77.06
1977-01-01,14481.9,3435.9,11046,23.73,76.27
1978-01-01,14981,3817,11164,25.48,74.52
1979-01-01,13758.4,3199.6,10558.8,23.26,76.74
1980-01-01,11197.5,2215.7,8981.8,19.79,80.21
1981-01-01,10563.6,2029.3,8534.3,19.21,80.79
1982-01-01,10357.3,2377.9,7979.4,22.96,77.04
1983-01-01,12107.1,2928.5,9178.6,24.19,75.81
1984-01-01,14205.1,3814.9,10390.2,26.86,73.14
1985-01-01,15425.1,4446.7,10978.4,28.83,71.17
1986-01-01,16044.3,4638.6,11405.7,28.91,71.09
1987-01-01,14875.1,4704.2,10170.9,31.62,68.38
1988-01-01,15443.2,4897.6,10545.6,31.71,68.29
1989-01-01,14520.7,4743.9,9776.8,32.67,67.33
1990-01-01,13859.7,4559.5,9300.2,32.90,67.10
1991-01-01,12309.4,4134.4,8175,33.59,66.41
1992-01-01,12857.3,4642.9,8214.4,36.11,63.89
1993-01-01,13882.7,5365,8517.7,38.65,61.35
1994-01-01,15044.9,6054.5,8990.4,40.24,59.76
1995-01-01,14728.4,6108,8620.4,41.47,58.53
1996-01-01,15097.1,6618.5,8478.6,43.84,56.16
1997-01-01,15121.9,6904.2,8217.7,45.66,54.34
1998-01-01,15543,7458.1,8084.9,47.98,52.02
1999-01-01,16893.7,8256,8637.7,48.87,51.13
2000-01-01,17349.7,8572,8777.7,49.41,50.59
2001-01-01,17122.4,8770.3,8352.1,51.22,48.78
2002-01-01,16816.213,8774.113,8042.1,52.18,47.82
2003-01-01,16639.102,9083.502,7555.6,54.59,45.41
2004-01-01,16866.865,9384.365,7482.5,55.64,44.36
2005-01-01,16948.171,9287.771,7660.4,54.80,45.20
2006-01-01,16504.108,8742.808,7761.3,52.97,47.03
2007-01-01,16088.988,8526.888,7562.1,53.00,47.00
2008-01-01,13194.834,6425.634,6769.2,48.70,51.30
2009-01-01,10402.292,5000.792,5401.5,48.07,51.93
2010-01-01,11554.824,5919.085,5635.739,51.23,48.77
2011-01-01,12741.816,6648.955,6092.861,52.18,47.82
2012-01-01,14433.203,7188.034,7245.169,49.80,50.20
2013-01-01,15530.101,7943.767,7586.334,51.15,48.85
2014-01-01,16452.19,8744.19,7708,53.15,46.85
2015-01-01,17396.291,9879.465,7516.826,56.79,43.21
2016-01-01,17464.777,10592.048,6872.729,60.65,39.35
2017-01-01,17136.359,11055.41,6080.949,64.51,35.49
2018-01-01,17213.546,11909.966,5303.58,69.19,30.81
